\g(d)\-(21) \g(r)\-(11) \g(r)\-(22) \g(r)\-(33) \g(r)\-(44) Re\g(s)\-(12) Im\g(s)\-(12) Re\g(s)\-(13) Im\g(s)\-(13) Re\g(s)\-(14) Im\g(s)\-(14) Re\g(s)\-(23) Im\g(s)\-(23) Re\g(s)\-(24) Im\g(s)\-(24) Re\g(s)\-(34) Im\g(s)\-(34) I14
MHz 
delta21 rho11 rho22 rho33 rho44 Re_rho12 Im_rho12 Re_rho13 Im_rho13 Re_rho14 Im_rho14 Re_rho23 Im_rho23 Re_rho24 Im_rho24 Re_rho34 Im_rho34, I14
-64.000000 0.515893 0.00384166 0.478403 0.00186164 -0.0319623 -0.00158831 -0.000294791 -0.000975061 -3.37508e-05 -7.35195e-05 -0.0295935 0.00140796 5.79043e-05 -0.00011001 -0.0297218 -0.00140654 6.54424e-09
-63.800000 0.515988 0.00385843 0.478281 0.00187269 -0.0319859 -0.00157877 0.000975422 -0.000596133 4.6159e-05 -5.89906e-05 -0.0297023 0.00141173 4.00141e-05 -4.04685e-05 -0.0298047 -0.00141976 5.61054e-09
-63.600000 0.516079 0.00388113 0.478156 0.00188359 -0.0320833 -0.00150571 0.0010171 0.000735661 5.69636e-05 2.20495e-05 -0.0297869 0.00139265 -3.308e-05 -3.60775e-05 -0.0298843 -0.00142876 3.73103e-09
-63.400000 0.516166 0.00391129 0.478028 0.00189475 -0.0322652 -0.00148276 -0.000239183 0.00119647 -1.77352e-05 5.77908e-05 -0.0298437 0.00138872 -6.12956e-05 -0.000105199 -0.029967 -0.00143278 3.65432e-09
-63.200000 0.516254 0.00394044 0.477899 0.00190638 -0.0324266 -0.00155607 -0.00107496 0.000143094 -7.59864e-05 -2.8605e-06 -0.029908 0.00141659 -4.84901e-06 -0.000154697 -0.0300559 -0.00143768 5.78212e-09
-63.000000 0.516349 0.00396172 0.477771 0.00191822 -0.0324902 -0.00163946 -0.000332723 -0.000988097 -3.64513e-05 -7.83778e-05 -0.0300066 0.00144834 5.97296e-05 -0.000116923 -0.0301463 -0.00144812 7.47178e-09
-62.800000 0.516448 0.00397949 0.477643 0.0019299 -0.0325139 -0.00163145 0.000983106 -0.000638042 4.86148e-05 -6.4834e-05 -0.0301211 0.00144987 4.33649e-05 -4.36555e-05 -0.0302324 -0.00146126 6.56685e-09
-62.600000 0.516543 0.00400359 0.477512 0.00194144 -0.0326128 -0.0015554 0.00106694 0.000728181 6.29771e-05 2.08807e-05 -0.0302126 0.00142862 -3.26925e-05 -3.66202e-05 -0.0303153 -0.00147075 4.40212e-09
-62.400000 0.516632 0.00403577 0.477379 0.00195323 -0.0328014 -0.00152951 -0.000208847 0.00124039 -1.43273e-05 6.21345e-05 -0.0302747 0.00142467 -6.43511e-05 -0.000107806 -0.0304011 -0.0014756 4.06597e-09
-62.200000 0.516724 0.00406695 0.477244 0.00196547 -0.0329712 -0.00160514 -0.00109997 0.000184807 -7.84746e-05 1.67147e-06 -0.0303423 0.00145618 -7.09866e-06 -0.000161379 -0.0304928 -0.00148171 6.16105e-09
-62.000000 0.516823 0.00408948 0.47711 0.00197784 -0.0330389 -0.00169464 -0.000373094 -0.00100006 -4.13841e-05 -7.85583e-05 -0.0304433 0.00149378 6.14671e-05 -0.000124261 -0.0305857 -0.00149374 7.88405e-09
-61.800000 0.516926 0.00410766 0.476976 0.00198996 -0.0330613 -0.00168987 0.000989544 -0.000681869 4.65834e-05 -6.83638e-05 -0.0305595 0.00149977 4.67634e-05 -4.74803e-05 -0.0306735 -0.00150841 6.84362e-09
-61.600000 0.517025 0.00413208 0.476841 0.00200187 -0.0331597 -0.00161109 0.00111917 0.000718978 6.41058e-05 1.89954e-05 -0.0306508 0.00147933 -3.23691e-05 -3.77874e-05 -0.0307573 -0.00151866 4.47038e-09
-61.400000 0.517119 0.00416514 0.476702 0.00201406 -0.0333533 -0.00158106 -0.000174903 0.00128607 -1.45224e-05 6.3193e-05 -0.0307108 0.00147346 -6.77177e-05 -0.000111085 -0.0308442 -0.00152314 4.20426e-09
-61.200000 0.517214 0.00419764 0.476561 0.00202678 -0.0335313 -0.00165717 -0.00112435 0.000230432 -8.21647e-05 1.47298e-06 -0.0307765 0.00150267 -9.65099e-06 -0.000168849 -0.030938 -0.00152823 6.7532e-09
-61.000000 0.517317 0.00422139 0.476421 0.00203977 -0.0336035 -0.0017511 -0.000416109 -0.00101043 -4.46296e-05 -8.33992e-05 -0.0308791 0.00153839 6.3282e-05 -0.000132241 -0.0310338 -0.00153945 8.94722e-09
-60.800000 0.517425 0.00424064 0.476282 0.00205257 -0.033626 -0.00174842 0.000994116 -0.000728102 4.87542e-05 -7.47614e-05 -0.031001 0.00154212 5.06158e-05 -5.13923e-05 -0.0311251 -0.00155401 7.96624e-09
-60.600000 0.517528 0.00426655 0.47614 0.0020652 -0.0337256 -0.00166643 0.00117326 0.000706794 7.04583e-05 1.73854e-05 -0.0310997 0.00151918 -3.16363e-05 -3.84403e-05 -0.0312123 -0.00156472 5.26663e-09
-60.400000 0.517626 0.00430183 0.475994 0.00207809 -0.0339263 -0.00163271 -0.000137573 0.00133222 -1.07202e-05 6.77663e-05 -0.0311653 0.0015128 -7.10654e-05 -0.000113749 -0.0313026 -0.00156999 4.7072e-09
